NAME,RA,DEC,LIT_SPT,SpT. Ref.,Spt Bibcode,Discovery Ref.,Ref Bibcode,SIMBAD_TEFF,SIMBAD_LOGG,SIMBAD_FEH,SIMBAD_PARM_CITATION,GAIA_TEFF,GAIA_TEFF_LOWER,GAIA_TEFF_UPPER,GAIA_LOGG,GAIA_LOGG_LOWER,GAIA_LOGG_UPPER,GAIA_FEH,GAIA_FEH_LOWER,GAIA_FEH_UPPER
CWISE J000458.59−133655.2,1.2442061,-13.6157690,d/sdT2,Burgasser et al. 2025,https://ui.adsabs.harvard.edu/abs/2025ApJ...982...79B/abstract,Schneider et al. 2016,https://ui.adsabs.harvard.edu/abs/2016ApJ...817..112S/abstract,,,,,,,,,,,,,
WISEA J001354.40+063448.1,3.4766290,6.5800500,sdT7.5,Burgasser et al. 2025,https://ui.adsabs.harvard.edu/abs/2025ApJ...982...79B/abstract,Pinfield et al. 2014,https://ui.adsabs.harvard.edu/abs/2014MNRAS.437.1009P/abstract,,,,,,,,,,,,,
UNCOVER-BD-1,3.5331892,-30.3701419,sdT1,Burgasser et al. 2023,https://ui.adsabs.harvard.edu/abs/2024ApJ...962..177B/abstract,Burgasser et al. 2023,https://ui.adsabs.harvard.edu/abs/2024ApJ...962..177B/abstract,,,,,,,,,,,,,
WISEA J001450.17−083823.4,3.7046392,-8.6390397,esdL0,Zhang et al. 2018b,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,Kirkpatrick et al. 2014,https://ui.adsabs.harvard.edu/abs/2014ApJ...783..122K/abstract,,,,,,,,,,,,,
ULAS J002009.34+160451.1,5.0389330,16.0808790,sdM9,Zhang et al. 2018b,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,Zhang et al. 2018b,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,,,,,,,,,,,,,
CWISE J002135.97+155226.8,5.3995916,15.8739263,d/sdT4,Burgasser et al. 2025,https://ui.adsabs.harvard.edu/abs/2025ApJ...982...79B/abstract,Zhang et al. 2019a,https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.1260Z/abstract,,,,,,,,,,,,,
LSPM J0029+0717,7.2787183,7.2833484,sdM7,Zhang et al. 2013,https://ui.adsabs.harvard.edu/abs/2013MNRAS.434.1005Z/abstract,Zhang et al. 2013,https://ui.adsabs.harvard.edu/abs/2013MNRAS.434.1005Z/abstract,,,,,3000.557,3000.144,3001.513,5.222,5.211,5.232,-0.753,-0.772,-0.738
2MASS J00412179+3547133,10.3408790,35.7870536,sdL0.5,Schneider et al. 2023,https://ui.adsabs.harvard.edu/abs/2023AJ....166..103S/abstract,Burgasser et al. 2004a,https://ui.adsabs.harvard.edu/abs/2004AJ....127.2856B/abstract,,,,,,,,,,,,,
SDSS J004539.96+135032.6,11.4165400,13.8424200,sdM7.5,Lodieu et al. 2012,https://ui.adsabs.harvard.edu/abs/2012A%26A...542A.105L/abstract,Lodieu et al. 2012,https://ui.adsabs.harvard.edu/abs/2012A%26A...542A.105L/abstract,,,,,,,,,,,,,
CWISE J004556.21+795847.8,11.4914398,79.9793985,d/sdL9,Burgasser et al. 2025,https://ui.adsabs.harvard.edu/abs/2025ApJ...982...79B/abstract,Mace et al. 2013a,https://ui.adsabs.harvard.edu/abs/2013ApJS..205....6M/abstract,,,,,,,,,,,,,
